Organization Name,Organization Name URL,Categories,Full Description
Abnormal Security,https://www.crunchbase.com/organization/abnormal-security,Information Technology,
Abbi.io,https://www.crunchbase.com/organization/abbi-io,"Analytics, Android, App Marketing, Apps, Enterprise Software, iOS, Marketing Automation, Mobile, SaaS","Abbi.io is a mobile-based in-app engagement and revenues platform that enables its users to identify happy moments in real time and automatically increase in-app conversions. The platform is focused on increasing engagement, monetization, and retention for mobile applications. Its technology understands its users’ customers and targets them at the right time and place. It collects over 300 session parameters and finds the right correlations. Abbi.io was launched in 2015 and is based in Tel Aviv, Israel."
Abogen,https://www.crunchbase.com/organization/abogen,"Health Care, Medical, Medical Device",AboGen is a commercial-stage medical device company that has developed transformative technology: a saliva collection and preservation technology designed to preserve all the components in saliva and potentially replace up to 80% of the 5 billion blood tests performed annually.
ABARTA Oil & Gas,https://www.crunchbase.com/organization/abarta-oil-gas,"Energy, Natural Resources, Oil and Gas, Renewable Energy","ABARTA Oil & Gas is a leading independent developer of natural gas and oil reserves in the Appalachian Basin and other targeted areas within North America. Using their geologic, engineering and financial resources, ABARTA Oil & Gas creates reserves through drilling and acquisition opportunities both independently and in conjunction with energy industry partners. ABARTA Oil & Gas owns and operates over 1,700 wells, gathering lines and related processing facilities. To maximize these resources, ABARTA Oil & Gas is committed to a strategy of profitable growth by combining low finding costs, superior operations, sophisticated marketing and strong internal capabilities."
AbitAI,https://www.crunchbase.com/organization/abitai,"Artificial Intelligence, E-Commerce, Retail Technology", AbitAI is a shopping guide solution provider based in China. The company is an AI company that focuses on smart shopping.
ABSMaterials,https://www.crunchbase.com/organization/absmaterials,"Environmental Engineering, Industrial, Water Purification","ABS Materials, Inc. designs, develops, and delivers solutions for ground, surface, and municipal water contamination. Its solutions include VoC-Eater system, which destroys pharmaceuticals, chlorinated solvents, herbicides, endocrine disruptors, PCBs, dyes, and phenols to outflow clean water; Osorb, a solution to destroy persistent organic pollutants in the ground water; and Iron-Osorb, an inert sand-like glass used on TCE/PCE/DCE/PCBs. The company’s solutions are used to clean solvents, pesticides, and other persistent organic pollutants from the water, soil, and air. It offers its systems on rental and long term lease basis. The company was founded in 2008 and is based in Wooster, Ohio with an additional office in Houston, Texas."
Ablio,https://www.crunchbase.com/organization/ablio,"Local, Professional Services, Service Industry, Software","Using state-of-the-art IT and telecommunication technologies, Ablio creates tools and service platforms supported by its own community of live interpreters which make language interpretation easily available to anybody, in any different context: ABLIO.COM: automated service platform delivering live interpreting services by connecting customers with professional interpreters through the Internet, telephones or mobile devices, anywhere in the world at anytime.  ABLIOCONFERENCE.COM: a complete simultaneous translation system for live conferences and events. Through its cloud-based software platform event organizers manage simultaneous translations through standard computers, distributing translation feeds through managed Wi-Fi networks, made available to audience on their own mobile devices WI-FI BROADCASTER: a complete end-to-end solution that broadcasts data and A/V contents to wireless devices connected through Wi-Fi which turns Wi-Fi Routers into multicast streaming gateways, allowing content to be delivered just once to many devices, instead of delivering multiple individual transmissions to each device. Ablio is based in U.S and Italy. It has been founded in 2015 by Jossi Fresco Benaim, Giulio Monaco and Piergiorgio Fiandanese."
Abtech Holdings,https://www.crunchbase.com/organization/abtech-holdings,"CleanTech, Environmental Engineering, Government, Information Technology, Manufacturing","AbTech Industries is a full-service environmental technologies and engineering firm dedicated to providing innovative solutions to communities, industry and governments addressing issues of water pollution and contamination. AbTech offers innovative solutions for Stormwater Management, Oil & Gas Water Treatment and Industrial Water Treatment. AbTech integrates its own native advanced technologies along with third-party technologies and systems to provide its customers with the most effective and economical solutions"
ABC News,https://www.crunchbase.com/organization/abc-news,"Blogging Platforms, Broadcasting, Fashion, Media and Entertainment, News, TV, Video","ABCNews is your breaking news resource for top stories, videos, photos, blogs, special reports and exclusive celebrity interviews."
Ab Initio,https://www.crunchbase.com/organization/ab-initio,"Apps, Finance, Financial Services, Hardware, Information Technology, Software","Ab Inito has created a new class of software for building, powering, and managing mission-critical information processing systems. Named the co-operating system for the way it bring together disconnected part of a business - different types of data, disparate hardware paltforms, dissonant technologies - Ab Inito Software solves the hardest problems in corporate computing. The Co-Operating System collects and process massive amounts of data from the widest array of source using any and all hardware resource availabe. The co-operating System makes it possible to scale applications infinitely as data volumes grow. The world's leading companies are using Ab Inito's Co>Operating System."
ABI Research,https://www.crunchbase.com/organization/abi-research,"Business Intelligence, Market Research","About ABI Research ABI Research provides strategic guidance for visionaries needing market foresight on the most compelling transformative technologies, which reshape workforces, identify holes in a market, create new business models and drive new revenue streams. ABI’s own research visionaries take stances early on those technologies, publishing groundbreaking studies often years ahead of other technology advisory firms. ABI analysts deliver their conclusions and recommendations in easily and quickly absorbed formats to ensure proper context. Our analysts strategically guide visionaries to take action now and inspire their business to realize a bigger picture. For more information about ABI Research’s forecasting, consulting and teardown services, visionaries can contact us at +1.516.624.2500 in the Americas, +44.203.326.0140 in Europe, +65.6592.0290 in Asia-Pacific or visit www.abiresearch.com. "
Abionic,https://www.crunchbase.com/organization/abionic,"Biotechnology, Life Science, Medical, Nanotechnology, Pharmaceutical","Abionic SA is ideally positioned at the boundaries of medical technology, biotechnology and nanotechnology. As a spin-off from EPFL (Swiss Federal Institute of Technology Lausanne, Switzerland), Abionic uses these highly advanced technologies to provide the medical profession with a novel diagnostic tool designed to give patients personal allergy profiles. Abionic aims to become an important international player in the field of personalized medicine, in particular in allergy detection. Abionic SA is a certified ISO 9001/13485 company, including research, development and commercialization of in vitro diagnostic devices for allergies detection. The standard ISO 13485 specifies requirements for a quality management system where an organization has to demonstrate its ability to provide medical devices and related services that consistently meet customer and regulatory requirements. Abionic SA is a privately owned high-tech company and is strongly supported by the Swiss Federal Institute of Technology of Lausanne (EPFL), The Canton of Vaud and Venturelab. Abionic was founded by former scientists from the biomedical optics laboratory (LOB) at EPFL. Its headquarters are located in Lausanne, Switzerland. Abionic appreciates the support it has received from:"
Ableton,https://www.crunchbase.com/organization/ableton,"Audio, Music, Software","Ableton makes software and hardware for creating, producing, and performing music. Ableton's flagship product, Live, has introduced a new approach to making music with computers on stage and in the studio that has attracted several hundred thousand Live worldwide."
AbiDoc,https://www.crunchbase.com/organization/abidoc,"Health Care, Health Diagnostics, Medical",AbIDoc is the online doctor appointment booking website and application.
ABL Space Systems,https://www.crunchbase.com/organization/abl-space-systems,"Information Technology, Internet","ABL Space Systems was founded by former SpaceX engineering leaders in 2017 to develop low-cost launch vehicles for the small satellite industry. ABL is headquartered in El Segundo, California, where it has 30,000 square feet of facilities for research, development, and production. ABL is a team of over 25 world-class aerospace engineers with experience at SpaceX, Virgin Orbit, Boeing, Lockheed Martin, Pratt + Whitney, and elsewhere. ABL is a privately-owned corporation backed by a premier group of private equity investors"
AbraResto,https://www.crunchbase.com/organization/abraresto,"Content Discovery, E-Commerce, Food and Beverage, Hospitality, Restaurants, Social Media Management","They seek to provide you everything that you might want to know about the restaurant before you step foot in that restaurant. Not only do they present their take on the restaurant, but also ratings and reviews from local and international food lovers like yourselves. Discover the best restaurants to eat around you, document your food journey and share your experience with your friends and other food lovers. At AbraResto, we provide you with in-depth information on dining-out, nightlife and catching-up places around you. _ - You can find/discover the perfect place based on your choice of cuisine, locality, cost or user ratings. - Using their wide range of filters, such as happy hours, bar, going out, business dining etc you can further narrow down on your search. - Add restaurants to your wish-list, so you don't forget it, mark it as ""been there"" or just follow to stay updated on promotions and discounts."
ABL Health,https://www.crunchbase.com/organization/abl-health,"Fitness, Health Care, Wellness","ABL was founded in 2009 by people who believed they could and should change the world! As healthcare and education professionals, they had first-hand experience of public services that had failed people, people who needed them most and they believed that they could provide a different, more flexible approach. They wanted to combine their expertise and experiences of the social and economic problems that held people back and find a way to support and empower people to live healthier, better lives whatever their background."
ABOVE Solutions,https://www.crunchbase.com/organization/above-solutions,"Information Services, Information Technology, Internet, Service Industry, Software","ABOVE Solutions, Inc. is a high growth technology company focused on applications and services in the emerging technology marketplace. The company was established in July 2008 with offices in the US and Bangalore- India. ABOVE has established key anchor customers and marquee relationships with Global Tier 1 companies in Education, Mobility, Media & Entertainment segments."
Aberdeen Asset Management,https://www.crunchbase.com/organization/aberdeen-asset-management,"Asset Management, Business Development, Property Management","Aberdeen Asset Management PLC is a global investment management group, managing assets for both institutional and retail clients from offices around the world. Their mission is to deliver strong fund performance across diverse asset classes in which they believe they have a sustainable competitive edge."
ABC Financial,https://www.crunchbase.com/organization/abc-financial,"Enterprise Software, Fitness, Payments","ABC Financial offers a range of payment and software solutions for the fitness industry. The company’s product portfolio includes billing and health club management software, customized marketing programs, and customer service solutions. ABC Financial was founded by Jim Bottin in 1981 and is based in Sherwood, Arkansas."
Abiomed,https://www.crunchbase.com/organization/abiomed,"Health Care, Medical, Medical Device","ABIOMED, Inc. is a provider of mechanical circulatory support devices and offers a continuum of care to heart failure patients. The Company develops, manufacture and market products that is designed to enable the heart to rest, heal and recover by improving blood flow and/or performing the pumping function of the heart. The Company's products are used in the cardiac catheterization lab (cath lab) by interventional cardiologists and in the heart surgery suite by heart surgeons for patients who are in need of hemodynamic support prophylactically or emergently before, during or after angioplasty or heart surgery procedures."
Absolute Antibody,https://www.crunchbase.com/organization/absolute-antibody,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical","Absolute Antibody is a privately funded startup company developing engineered antibodies for the research and diagnostics markets.They have developed a proprietary manufacturing platform based on transient transfection for the production of sequenced and engineered antibodies, AbsoluteAbs (AbAbs). The manufacture of AbAbs is fast, inexpensive and animal-free, with 100s of mgs produced within two weeks, versus up to three months required by traditional methods, enabling Absolute Antibody to offer vastly reduced time from order to delivery.Antibody sequencing, manufacturing and engineering services are offered to all antibody users but we are also developing a catalog of engineered antibodies.  They provide a number of benefits over antibodies produced using traditional methods, including ultra-low batch-to-batch variability leading to improved reproducibility of results, and the ability to eliminate undesirable properties or add desirable features. For example, the binding potential for complement and Fc receptors can be eliminated to minimise background staining and provide cleaner results, while desirable features such as tags for detection and purification can be built into the AbAbs."
Abattis Bioceuticals,https://www.crunchbase.com/organization/abattis-bioceuticals,"Biotechnology, Health Care, Medical","Abattis Bioceuticals Corporation is a specialty bio-technology life sciences company that has acquired intellectual property, conducts research, and works to develop proprietary health and wellness solutions that address chronic illnesses and disease in animals and humans through proprietary and patent pending formulations. The Company has identified targeted channels to market and license proprietary patent pending products throughout the world. http://www.abattis.com/s/news.asp?ReportID=692690 SEDAR Filings: http://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00011477"
Abjjad,https://www.crunchbase.com/organization/abjjad,Social Network,"Abjjad is the first Arabic social network geared towards readers and writers.Readers are given the opportunity to sign up and create reading lists and share book reviews, while creating a parallel environment in which writers and bloggers are able to post their written work. Abjjad’s members have added more than 82,000 books to their reading lists as that are separated into three sections: previously read, currently reading, or planning to read."
ABLE Human Motion,https://www.crunchbase.com/organization/able-human-motion,Medical Device,ABLE Human Motion is a medical device spin-off from Universitat Politècnica de Catalunya (UPC) that is developing and will commercialize robotic exoskeletons to enhance mobility and independence of people with lower-limb paralysis.
AbacusNext,https://www.crunchbase.com/organization/abacusnext,"Accounting, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Document Management, Document Preparation, Enterprise Software, Information Technology, Legal, Software","Founded in 1983 and backed by private investment, AbacusNext is headquartered in La Jolla, California, and operates two full spectrum security and privacy compliant data center environments in SSAE 16-compliant, SOC 1-, 2- data centers, geographically dispersed."
ABM Pharma,https://www.crunchbase.com/organization/abm-pharma,"Health Care, Home Health Care, Pharmaceutical","ABM Pharma is a partner of the entire pharmacy network in the home care of patients, today more than 5000 pharmacies are clients.  ABM Pharma technicians work with more than 30,000 patients."
AbiliLife,https://www.crunchbase.com/organization/abililife,"Health Care, Medical, Medical Device, Wearables",AbiliLife is a company dedicated to designing and developing products to improve the quality of life for patients with Parkinson's and other neurodegenerative diseases.
Abbey Road Studios,https://www.crunchbase.com/organization/abbey-road-studios,Music,"Abbey Road is an iconic symbol of the world music industry and the British music scene. The studios have been at the heart of the UK music industry for over 80 years, and have been home to countless landmark recordings and pioneering advances in recording techniques, equipment and technology."
AB Microfinance Bank Nigeria,https://www.crunchbase.com/organization/ab-microfinance-bank-nigeria,"Banking, Finance, Financial Services","AB Microfinance Bank Nigeria is a foreign-owned financial institution, based in Lagos state, which offers a broad range of financial services to micro, small and medium-sized enterprises (MSMEs) and other clients in the lower income strata."
Absolvent,https://www.crunchbase.com/organization/absolvent,"Career Planning, Education","Absolvent operates a social recruitment platform for students and graduates. It was founded in 2012 and is based in Warsaw, Mazowieckie."
Abrigo,https://www.crunchbase.com/organization/banker-s-toolbox,"Banking, Risk Management, Software","Abrigo provides software-based solutions and consulting for community banks and credit unions.  Their products consist of proven solutions for money laundering detection and reporting, risk management through fraud and kite prevention, secure wire processing automation, and commercial real estate loan portfolio risk assessment.  Their staff is a unique combination of seasoned bankers, former regulators, and technology experts who specialize in designing, developing, and implementing risk management solutions while providing unparalleled customer service."
Ability Wearables,https://www.crunchbase.com/organization/ability-wearables,"Health Care, Information Technology, Wearables","Ability Wearables is a wearable data company that helps solve health, safety and productivity for world leading enterprises and insurers"
ABS,https://www.crunchbase.com/organization/abs,"Fitness, Health Care, Medical Device","Founded in January of 2009 in Minnetonka, Minnesota, ABS Corporation designs and develops minimally invasive technology focused on relieving pain in the knee. Two medial knee implant systems have been developed: The PEEK Mobility® Medial Knee Implant and the OrthoGlide® Medial Knee Implant. The PEEK Mobility Medial Knee Implant has received CE Mark approval. The OrthoGlide Medial Knee Implant has received FDA clearance and CE Mark approval."
Abierto Networks,https://www.crunchbase.com/organization/abierto-networks,"FinTech, Information Services, Information Technology","Abierto Networks offers payment, digital retail marketing, and promotional tech solutions for the convenience store and retail petroleum industry. The company’s main offerings include a mobile loyalty platform that allows retailers to redeem product offers delivered to mobile phones, and collect purchasing behavior data to target consumers with future offers; a digital signage solution that helps retailers influence consumer behavior at the point of purchase; and a gateway IP converter that enables retailers to take non IP-ready POS platforms and transact securely over the internet with TCP credit card authorizations hosts. Abierto Networks was founded in 2005 and is based in Eliot, Maine."
AblePay Technologies,https://www.crunchbase.com/organization/ablepay-technologies,"Internet, Mobile Payments, Payments","AblePay Technologies was founded in 2009 as a spin-out from the Research Department of Telenor, and the technology has been developed in close collaboration with SINTEF, the largest independent research organisation in Scandinavia."
Ab E Discovery,https://www.crunchbase.com/organization/ab-e-discovery,"Agriculture, Animal Feed, Biotechnology, Manufacturing","Ab E Discovery partners with entrepreneurial scientists to lead their technologies from discovery to impact. A full-service commercialization resource, Ab E Discovery focuses on bio-functional feed technologies and delivers the expertise, knowledge, and hands-on support needed to develop and manufacture industry-ready innovations. The Ab E Discovery team applies decades of industry and research experience to ensure technologies’ scientific and commercial success."
Aballoon,https://www.crunchbase.com/organization/aballoon,"Blockchain, FinTech, Media and Entertainment, Music Label, Music Streaming, Social Network","Can you imagine a world where music is created and enjoyed by anyone and where a whole new economy is built upon this process?  Welcome to Aballoon, the first music collaboration platform, digital record label & mutual fund where artists & fans collaborate and create songs together, and where investors earn money by making this happen. Before getting into the securitization of our music royalties, I’m going to talk about our technology… We’ve built a platform that allows people from all around the globe to collaborate online through the beautiful craft of writing lyrics together, or just by writing and storing their lyrics privately. This platform is built in a way that allows us to develop internal applications like our unique music streaming service and our music encyclopedia, “Aballoopedia”. One of the best things about our platform is that it’s not only an entertainment music website where we distribute our content, it is also a space for creation & collaboration, and it functions like a social network that allows our users to share and dedicate their favorite songs from our catalog; which brings me to the next point… OUR CONTENT During the past 4 years, we’ve managed to discover and polish an outstanding formula to generate music content like no other… We have come up with a music collaboration model that even allows non-musicians to be part of music creation by writing lyrics on our platform and having well-known artists collaborate and create songs out of those lyrics through our record label, Weballooning…  And I know that you’re probably wondering what exactly is Weballooning... Weballooning is the name of our digital record label, which in other words means it is an asset generator!  Weballooning consists of arranging live music sessions where we gather musicians and artists from different bands and have them write and record a song within 48 hours, using some of the lyrics that their fans have posted on our platform. In other words, we’re the first digital record label to produce and sell music written between artists and fans. And believe me when I say that the results are mind-blowing. The sound of the songs is an unprecedented thing. We currently have more than 250,000 monthly listeners on Spotify and YouTube, and over 9.2 million plays with just 12 launched songs, and without any budget for marketing, which takes me to the next and probably the most important thing about this presentation: Music Backed Securities… We’ve already started collecting and managing music royalties out of our current songs catalog but we need liquidity to scale, That’s why after more than 2 decades of having such a financial instrument issued by David Bowie and financial innovator David Pullman, we want to retake the “Bowie Bonds” concept and turn it into the first Music Backed Securities market.  According to Billboard Magazine, Bowie Bonds were ahead of their time however, thanks to the re-emergence of the music industry and the rise of the Blockchain technology, we want to create the first financial market and mutual fund that issues and sells Asset Backed Securities collateralized by pools of songs and/or song derivatives that can serve as a new investment vehicle to be traded in our own platform or even just used as a collectible! We’ve worked and released songs with national and international famous Latin-American artists, and we’re looking to broaden our horizon by reaching out and inviting worldwide music celebrities to collaborate next. We believe that true innovation comes not only from creating great products, but creating a new mindset… That’s why for the first time ever we’re making it possible for non-musicians to be part of music creation, for big artists to collaborate and engage with their fans in a new way, and for investors to be part of the next generation of Music Backed Securities with which they’ll be able to, not only diversify their portfolios and periodically earn yields over long periods of time, but to be part of the creation of amazing music between artists and fans. Because we believe that, if a single mind has been able to create a masterpiece, imagine what we could create all together. "
Absolute Software,https://www.crunchbase.com/organization/absolute-software,"Enterprise Software, Risk Management, Security","Absolute Software is the leader in endpoint resiliency, enabling more than 12,000 customers worldwide to protect devices, data, applications and users against theft or attack—both on and off the corporate network. With the industry’s only tamper-proof endpoint visibility and control solution, Absolute allows IT to enforce asset management, harden the resiliency of third-party endpoint security agents, and enforce data compliance for today’s remote digital workforces. Patented Absolute Persistence™ is embedded in the firmware of Dell, HP, Lenovo, and 26 other manufacturers’ devices for vendor-agnostic coverage, tamper-proof resilience, and ease of deployment."
Abwiz Bio,https://www.crunchbase.com/organization/abwiz-bio,"Biopharma, Biotechnology, Medical",It provide researchers world-wide with top-quality monoclonal antibodies through novel immunization and unique cloning methods using phage display technology.
AbbeLight,https://www.crunchbase.com/organization/abbelight,"Biotechnology, Medical Device, Nanotechnology","Abbelight offers innovative solutions in the field of super-resolution microscopy (nanoscopy) and membrane imaging for biological research. The company's single molecule localization microscopy is a combination of consumable, hardware and software techniques to achieve reliable state-of-the-art science, enabling companies conducting research in the fields of biology, pharmacology and environment to implement super-resolved fluorescence microscopy approaches to observe biological samples with better resolution. Abbelight ambitions to make these cutting-edge techniques accessible to all laboratories by simplifying their use, without sacrificing the performance of instruments. To accomplish this, they accompany scientists from the preparation of the samples to the treatment of the results by proposing chemistry, computer science and optical instruments. "
"AbboMax, Inc",https://www.crunchbase.com/organization/abbomax-inc-2,"Biotechnology, Customer Service, Manufacturing, Pharmaceutical","AbboMax specializes in immunohistochemistry (IHC) and in situ hybridization (ISH) products and assay development. It provides high-quality custom service and products focusing on phosphospecific antibodies, IHC grade monoclonal antibodies, FFPE cell pellets slides, tissue/cell blocks,  Tissue Microarray (TMA) and CRO services including recombinant protein, custom bio-conjugation, antibody fragmentation, Antibody Epitope Mapping (AEM), scale-up process for pharmaceutical companies and CLIA lab.  All the manufacturing activities are performed  in our the Silicon Valley Core Facility located in San Jose, California."
AbleWatts Inc.,https://www.crunchbase.com/organization/ablewatts-inc,"Customer Service, Energy, Software","AbleWatts offers residential and commercial electric utility customers personalized energy assessments via a mobile cloud-based platform which affords users a seamless and peace-of-mind experience with options to save money, reduce consumption and protect the environment all at the same time."
Abouit,https://www.crunchbase.com/organization/abouit,"Internet, Nutrition, Retail Technology","Abouit has creates a new tool to empower you as a buyer and allow you to exercise your right as a consumer with full awareness. From any place and device Abouit allows you to analyze, compare and buy in a personalized way offering you an integral vision of the product and its manufacturer. "
Absolute Health & Performance,https://www.crunchbase.com/organization/absolute-health-performance,"Fitness, Health Care","Absolute is a best-in-class health, injury rehabilitation and performance centre situated in the heart of Melbourne CBD’s business and legal precinct."
AB-Chain,https://www.crunchbase.com/organization/ab-chain,"Blockchain, Cryptocurrency","AB-CHAIN  is a new generation advertising network that allows advertisers to buy ad space from publishers using cryptocurrencies including our new currency, the ABC token. 2017 is the year of ICO. Most companies that raised funds through ICO are actively developing their products. More than half have promised to make it available to the public by 2018. Once their products are on the market, these companies will need to advertise them. Today, most publishers do not accept cryptocurrencies, primarily because the general demand from traditional companies is not significant enough to justify the adoption of a new type of payment. However, by 2018 the advertising market will be facing an influx of companies raising through ICO, and therefore most of them will have their budgets in cryptocurrencies. AB-CHAIN will provide companies that have raised money through ICO with an ad network where they can buy online advertising using multiple types of cryptocurrencies and without the need to convert them to fiat. This avoids problems such as low liquidity in the crypto market causing the value to fall when converted and local governments charges taxes over the conversion of cryptocurrencies to fiat."
Aberdeen,https://www.crunchbase.com/organization/aberdeen-group,"Analytics, Content Marketing, Information Technology, Marketing, Predictive Analytics, Sales","Aberdeen provides technology sales and marketing teams with an unfair advantage in generating new business. Aberdeen's Engagement Science approach to growing and accelerating your funnel ensures that you're saying the right things to the right people in your target market. Our predictive B2B data set allows them to target and go to market with precision at scale. Our vast library of marketing content engages these audiences and saves precious content marketing resources. Our SaaS platform easily fits any martech ecosystem with little or zero implementation costs, while Aberdeen fills needs with turnkey, outsourced creative, demand generation, and custom data services."
Abridge,https://www.crunchbase.com/organization/abridge,"Electronics, Marketing, Messaging","Abridge is a brand and communication strategy firm that offers creative communication and event planning services to its clients. The company’s range of services include advertising, event planning, consultancy, publishing, and linguistic localization. Abridge was founded in 2011 by Simone Spreafico, Daniele Maggi, Gianluca Longo, and Ugo Cesare Tonelli and is based in Lombardia."
Abakan,https://www.crunchbase.com/organization/abakan-inc,"Energy, Renewable Energy, Waste Management","Abakan, Inc (formerly _Waste to Energy Group) is a leading source of waste-to-energy conversion technology. The company acts as system integrators with unique processes and technology which convert a waste stream into a variety of revenue producing products and renewable energy. These technologies include biological, chemical, thermal and mechanical. They are capable of converting post-recycled residual solid waste into useful products and chemicals, algae to biofuel, green fuels such as hydrogen, natural gas, ethanol and biodiesel, as well as, providing a source of clean, renewable energy."
ABF Décisions,https://www.crunchbase.com/organization/abf-décisions,"Consulting, Finance, Professional Services","ABF Décisions provides consulting and engineering company in public financing, recognized for its expertise and the quality of its teams. Are you looking for a significant cash contribution at the start of your innovation project, a tax optimization of your R & D expenses? We allow you to benefit from a wide range of public aid schemes to provide a tailor-made and secure response to your financing issues (grant, conditional advances, tax credit, tax exemptions, etc.)."
ABC,https://www.crunchbase.com/organization/abc,"Digital Media, Media and Entertainment, News, Social Media","ABC is a media company that develops, produces, and distributes entertainment content on television and online.The company offers WATCH ABC, a live stream service that allows its users to view its network live or on-demand on various devices such as smartphones, tablets, and computers.ABC was purchased by Capital Cities in 1985 and became Capital Cities/ABC until the Walt Disney Company purchased Capital Cities in 1996. The company was founded in 1946 and is based in New York, United States. It operates as a subsidiary of [The Walt Disney Company](http://www.crunchbase.com/organization/the-walt-disney-company)."
ABBYY Language Services,https://www.crunchbase.com/organization/abbyy-language-services,"Enterprise Software, Sales, Translation Service","ABBYY Language Services – www.abbyy-ls.com – delivers high-tech multilingual linguistic support and solutions for translation automation to more than 2,500 companies worldwide in over 80 languages.      The company’s offering for the translation automation includes the innovative cloud environment for professional translators – www.SmartCAT.pro; cloud-based terminology management system – www.Lingvo.Pro; innovative machine translation technologies and much more.       One of the most recent global initiatives run by ABBYY Language Services and based solely on the company's own technological platform was a large-scale crowdsourced tranlsation project to localize popular Coursera lections into Russian. The project reached the first million words translated in less than three months after the official launch in March, 2014 – http://coursera.abbyy-ls.com/en.         ABBYY Language Services maintains offices in the United States, Germany, Russia, the Ukraine, Kazakhstan, and employs a world-class team of 2000+ carefully screened translators, editors, proofreaders, localization engineers and other specialists."
Abhibus,https://www.crunchbase.com/organization/abhibus,"E-Commerce, Travel","AbhiBus.com is India’s fastest growing online bus ticketing company that facilitates online booking of bus tickets to travellers all over India. With ticket inventory from over 1500 operators and 15000 routes, abhibus.com is the preferred choice of booking, when it comes to bus travel. Founded in the year 2007, AbhiBus Services (India) Private Limited is a pioneer in providing end-to-end software and other value added solutions for the Bus Transport Industry by leveraging the latest technologies. The company also provides technology solutions to more than 100 large private bus operators in India, 4 state transport corporations and 2 international operators. The end-to-end software solutions include e-ticketing systems, fleet management solutions, vehicle tracking systems, passenger information systems, logistics management backed by a 24x7 customer support centre. Today, AbhiBus is also the preferred Information Technology Partner for State Transport Corporations and Private Bus Fleet Operators. AbhiBus is an ISO 9001:2008 certified company."
ABCya.com,https://www.crunchbase.com/organization/abcya-com,"Apps, Children","ABCya is the leader in free educational computer games and mobile apps for kids. The innovation of a grade school teacher, ABCya is an award-winning destination for elementary students that offers hundreds of fun, engaging learning activities. Millions of kids, parents, and teachers visit ABCya.com each month, playing over 1 billion games last year. Apple, The New York Times, USA Today, Parents Magazine and Scholastic, to name just a few, have featured ABCya’s popular educational games."
Abroadwith,https://www.crunchbase.com/organization/abroadwith,"Communities, Education, Internet, Language Learning",
ABN AMRO Bank,https://www.crunchbase.com/organization/abn-amro-bank,"Banking, Finance, Financial Services","ABN AMRO offers a full range of products and services serving retail, private and commercial banking clients. ABN AMRO offers a full range of services to their clients, not only in the Netherlands but wherever their business takes them. ABN AMRO is one of the three largest banks in the Netherlands, serving retail and business clients. ABN AMRO are also active internationally in a number of specialist activities, such as Private Banking, Energy, Commodities & Transportation (ECT) and Clearing.  ABN AMRO is organised in a way that guarantees first-class management and effective supervision by the Managing Board and Supervisory Board. Integrity, transparency and accountability are key elements of their corporate governance and business operations. These key elements ensure that ABN AMRO pursues effective risk management, comply with legislation and regulations and provide full transparency to stakeholders and market parties.  ABN AMRO has a two-tier governance model consisting of a Supervisory Board and a Managing Board. The memberships of the Supervisory Boards of ABN AMRO Group and ABN AMRO Bank are the same, as are the memberships of the Managing Boards of ABN AMRO Group and ABN AMRO Bank and the committees of these boards.  ABN AMRO offers a full range of innovative services to their retail, private and commercial clients, not just in the Netherlands but wherever their business takes them.  On 1 July 2010 the legal merger between ABN AMRO Bank N.V. (ABN AMRO Bank) and Fortis Bank (Nederland) N.V. (Fortis Bank Nederland) was completed, creating a combined entity called ABN AMRO Bank N.V."
Aben Resources,https://www.crunchbase.com/organization/aben-resources,Mining,
ABV Technology,https://www.crunchbase.com/organization/abv-technology,Information Technology,
ABIVIN,https://www.crunchbase.com/organization/abivin,"Analytics, Big Data, Fleet Management, Logistics, Machine Learning, Supply Chain Management","We provides an all-in-one solution for WMS and TMS with specialization on Inventory Route Optimization and Machine Learning. TMS: - Optimize the efficency of your daily routing plan for the vehicle fleet - Maintain 20+ business constraints and service-level goals for the optimal routing plan - Manage details of customers, orders, vehicles and drivers or deliverymen - Enable delivery fleet with a design-your-own-style mobile app for updating order status, SMS/Email proof of delivery - GPS track the details locations of delivery or transportation fleet WMS: - Optimize and continually update safety stock levels across levels of supply chain from suppliers to consumers (launching Mid-2018) - Manage details of customers, orders, products, inventory and warehouse personnels  - Enable tracking real-time inventory via mobile app on Android & iOS, streamline end-to-end through life cycle of an order - Enforce warehouse process for standard inbound and outbound logistics"
ABS Data,https://www.crunchbase.com/organization/abs-data,"SaaS, Software, Telecommunications",
Abe AI,https://www.crunchbase.com/organization/abe-ai,"Artificial Intelligence, Financial Services, Machine Learning, Personal Finance",Abe builds conversational banking solutions for progressive banks.
